iter	AUC	Logloss
0	0.8855951428	0.6052469734
1	0.9474308789	0.5323817692
2	0.9639431536	0.4742413768
3	0.9647308588	0.4298900886
4	0.9651130438	0.3935642936
5	0.9656147361	0.3635263475
6	0.9655380845	0.3404972951
7	0.965503931	0.321013715
8	0.9664624333	0.3042928518
9	0.966481179	0.2910566885
10	0.9667798877	0.2793103604
11	0.9670622051	0.2688769873
12	0.9687319994	0.26090418
13	0.9687972069	0.2535784252
14	0.9689688981	0.2467200827
15	0.9701173007	0.2408559573
16	0.970295608	0.2357807143
17	0.970561564	0.231413448
18	0.9709461629	0.2274510001
19	0.971259594	0.2237652433
20	0.9712784886	0.2206183934
21	0.9713764787	0.2177200564
22	0.9733590186	0.2097594201
23	0.9733604789	0.2076025095
24	0.9739729464	0.2023202069
25	0.9740125239	0.2005947336
26	0.9740448892	0.1989646415
27	0.9740789235	0.1975003074
28	0.9745551348	0.1930821905
29	0.9746946096	0.1914288051
30	0.9749737382	0.1881575952
31	0.9752296209	0.1857719048
32	0.9753806293	0.1845676061
33	0.9755935371	0.1822982306
34	0.9756774306	0.1816159483
35	0.9757653475	0.1803554447
36	0.9758434594	0.1795730342
37	0.9759247899	0.1785173686
38	0.9760645628	0.1773591046
39	0.976131618	0.1767550095
40	0.9762055576	0.176310725
41	0.9762876034	0.175407225
42	0.9763650298	0.1746888849
43	0.9764163196	0.174094408
44	0.9764552116	0.1735284682
45	0.9764982462	0.1730718194
46	0.9765289426	0.1727011683
47	0.9765684605	0.1723527204
48	0.9766256213	0.1720125383
49	0.9766631722	0.1716315515
50	0.9767578244	0.1713033749
51	0.9768590331	0.1708045276
52	0.9768945277	0.17041878
53	0.9769702256	0.1701121304
54	0.9770284593	0.1698512119
55	0.9770687819	0.1695805648
56	0.9771339893	0.1690837875
57	0.9771707654	0.1688803433
58	0.9772001505	0.1686855928
59	0.9772395492	0.1684810999
60	0.9772568345	0.1682637461
61	0.9772927761	0.16809469
62	0.9773288965	0.167904507
63	0.9773700237	0.1677234041
64	0.9774010777	0.1675627794
65	0.9774353206	0.1674163681
66	0.977496922	0.1671495435
67	0.9775295854	0.1669048392
68	0.9775546193	0.1667590213
69	0.9775884151	0.1665976376
70	0.9776108265	0.1664628868
71	0.9776516259	0.166194075
72	0.9776780903	0.1660665826
73	0.9777443707	0.1656926473
74	0.9777674377	0.16556728
75	0.9777990878	0.1654610524
76	0.9778349102	0.1652353361
77	0.9778693318	0.1651003369
78	0.9778929353	0.1650185756
79	0.9779292941	0.164896948
80	0.9779466689	0.1648063137
81	0.9779806137	0.1646911303
82	0.978002429	0.1645895256
83	0.9780196548	0.16450586
84	0.9780350327	0.1644087952
85	0.9780539274	0.1643106265
86	0.9780756235	0.1642158662
87	0.9780959487	0.1641192016
88	0.9781181216	0.1640123669
89	0.9781420231	0.1639253481
90	0.9781585038	0.1638065217
91	0.9781766534	0.1637322259
92	0.9781977534	0.1636524517
93	0.9782143831	0.1635698211
94	0.9782348275	0.1635027699
95	0.9782599807	0.1633570348
96	0.9782725573	0.163289611
97	0.9782972932	0.1631915389
98	0.9783124328	0.1631131033
99	0.9783224165	0.1630480393
100	0.9783329964	0.1629805465
101	0.9783556461	0.1629099351
102	0.9783750772	0.1627963801
103	0.9783846736	0.1627624061
104	0.9783918858	0.1627104514
105	0.9784056842	0.1626577516
106	0.9784206152	0.1625486676
107	0.9784342647	0.1624779458
108	0.9784477353	0.16241411
109	0.9784644842	0.1623590505
110	0.9784812331	0.1623059781
111	0.9784960747	0.1621974322
112	0.9785163403	0.1621080399
113	0.9785282612	0.1620559611
114	0.9785372615	0.1620099126
115	0.9785448909	0.1619622634
116	0.9785552025	0.1619021395
117	0.9785627723	0.1618559944
118	0.9785741568	0.1618061925
119	0.9785834551	0.1617622277
120	0.9785975218	0.1617208434
121	0.9786131978	0.1616637968
122	0.9786249399	0.1616179967
123	0.9786359668	0.1615782269
124	0.9786430001	0.1615399198
125	0.978654623	0.1614855227
126	0.9786604047	0.1614636093
127	0.9786721468	0.1614221422
128	0.9786814451	0.1613659787
129	0.9786973596	0.1613136515
130	0.9787099361	0.1612608689
