iter	Passed	Remaining
0	90	90568
1	188	93849
2	276	92012
3	367	91535
4	449	89508
5	541	89731
6	614	87128
7	692	85878
8	776	85453
9	851	84284
10	931	83787
11	1013	83459
12	1093	83025
13	1173	82617
14	1248	81980
15	1323	81385
16	1407	81380
17	1478	80640
18	1550	80044
19	1625	79636
20	1701	79343
21	1784	79342
22	1876	79713
23	1955	79537
24	2053	80080
25	2128	79729
26	2198	79229
27	2274	78951
28	2359	78999
29	2446	79113
30	2537	79323
31	2633	79670
32	2724	79831
33	2819	80107
34	2895	79829
35	2991	80112
36	3078	80133
37	3169	80241
38	3252	80148
39	3345	80290
40	3415	79899
41	3512	80129
42	3602	80184
43	3693	80254
44	3789	80419
45	3887	80616
46	3979	80684
47	4069	80705
48	4164	80829
49	4251	80786
50	4343	80820
51	4429	80746
52	4525	80868
53	4622	80975
54	4718	81068
55	4815	81178
56	4901	81090
57	4991	81076
58	5083	81084
59	5179	81140
60	5274	81195
61	5370	81251
62	5468	81326
63	5564	81378
64	5649	81269
65	5747	81331
66	5837	81286
67	5933	81323
68	6028	81343
69	6126	81390
70	6223	81433
71	6327	81553
72	6420	81533
73	6520	81597
74	6617	81618
75	6702	81484
76	6804	81562
77	6894	81502
78	6977	81344
79	7073	81342
80	7169	81338
81	7264	81329
82	7349	81196
83	7441	81143
84	7536	81132
85	7631	81107
86	7728	81108
87	7823	81080
88	7915	81018
89	8013	81022
90	8103	80944
91	8198	80917
92	8279	80749
93	8372	80694
94	8459	80586
95	8562	80627
96	8659	80609
97	8743	80473
98	8835	80409
99	8931	80387
100	9023	80315
101	9121	80303
102	9214	80242
103	9298	80108
104	9394	80074
105	9485	80003
106	9592	80060
107	9682	79966
108	9775	79908
109	9854	79730
110	9929	79523
111	10026	79495
112	10133	79540
113	10223	79458
114	10319	79415
115	10418	79392
116	10514	79355
117	10610	79306
118	10702	79233
119	10794	79160
120	10880	79039
121	10977	79005
122	11075	78968
123	11150	78771
124	11246	78728
125	11346	78704
126	11431	78580
127	11527	78532
128	11624	78491
129	11722	78448
130	11819	78402
131	11926	78425
132	12034	78448
133	12118	78317
134	12215	78269
135	12312	78221
136	12397	78092
137	12481	77962
138	12565	77832
139	12662	77782
140	12741	77625
141	12852	77656
142	12948	77603
143	13059	77630
144	13157	77583
145	13254	77530
146	13338	77399
147	13437	77357
148	13545	77365
149	13627	77221
150	13714	77108
151	13801	76997
152	13887	76881
153	13984	76823
154	14083	76778
155	14182	76733
156	14278	76667
157	14362	76540
158	14459	76481
159	14557	76424
160	14640	76294
161	14728	76187
162	14819	76097
163	14918	76049
164	14987	75848
165	15069	75709
166	15145	75544
167	15242	75484
168	15346	75463
169	15425	75312
170	15510	75193
171	15607	75132
172	15703	75069
173	15788	74951
174	15888	74901
175	15987	74848
176	16082	74777
177	16166	74655
178	16251	74540
179	16347	74470
180	16457	74469
181	16545	74365
182	16630	74247
183	16728	74185
184	16825	74121
185	16916	74031
186	17013	73967
187	17107	73891
188	17194	73781
189	17292	73721
190	17385	73639
191	17482	73573
192	17565	73445
193	17663	73386
194	17746	73263
195	17854	73240
196	17949	73163
197	18058	73146
198	18157	73087
199	18255	73021
200	18331	72869
201	18407	72718
202	18505	72653
203	18605	72596
204	18702	72527
205	18799	72460
206	18899	72401
207	18976	72257
208	19085	72232
209	19169	72113
210	19263	72032
211	19350	71925
212	19423	71765
213	19506	71645
214	19604	71577
215	19698	71497
216	19796	71431
217	19894	71365
218	19992	71298
219	20073	71171
220	20153	71040
221	20228	70889
222	20327	70826
223	20425	70760
224	20523	70690
225	20621	70622
226	20717	70550
227	20819	70493
228	20918	70427
229	20997	70296
230	21094	70224
231	21194	70161
232	21291	70089
233	21389	70017
234	21497	69980
235	21582	69868
236	21685	69815
237	21761	69671
238	21858	69598
239	21950	69510
240	22049	69441
241	22128	69311
242	22226	69239
243	22324	69168
244	22420	69091
245	22513	69004
246	22609	68925
247	22707	68854
248	22792	68744
249	22888	68665
250	22973	68554
251	23045	68404
252	23127	68285
253	23212	68176
254	23299	68069
255	23395	67993
256	23491	67916
257	23589	67843
258	23686	67767
259	23783	67692
260	23881	67619
261	23966	67507
262	24052	67401
263	24161	67359
264	24243	67240
265	24340	67165
266	24420	67042
267	24502	66924
268	24586	66814
269	24683	66738
270	24762	66612
271	24861	66541
272	24946	66431
273	25023	66303
274	25094	66158
275	25176	66043
276	25273	65967
277	25372	65896
278	25472	65826
279	25562	65731
280	25648	65628
281	25734	65522
282	25828	65439
283	25914	65334
284	25999	65227
285	26083	65117
286	26179	65038
287	26264	64932
288	26352	64832
289	26436	64724
290	26535	64651
291	26620	64544
292	26703	64433
293	26800	64358
294	26899	64285
295	26975	64157
296	27057	64045
297	27143	63942
298	27233	63847
299	27322	63753
300	27403	63637
301	27499	63559
302	27589	63464
303	27678	63368
304	27777	63297
305	27866	63200
306	27956	63107
307	28037	62993
308	28135	62918
309	28235	62846
310	28308	62716
311	28393	62610
312	28485	62523
313	28578	62436
314	28676	62360
315	28776	62288
316	28877	62217
317	28960	62110
318	29047	62010
319	29145	61933
320	29253	61878
321	29350	61800
322	29437	61700
323	29517	61586
324	29606	61490
325	29689	61382
326	29764	61259
327	29855	61166
328	29953	61090
329	30039	60988
330	30121	60880
331	30206	60777
332	30294	60679
333	30373	60565
334	30461	60467
335	30548	60369
336	30643	60286
337	30725	60177
338	30822	60098
339	30905	59992
340	31004	59917
341	31090	59817
342	31170	59706
343	31265	59623
344	31354	59528
345	31454	59454
346	31536	59346
347	31619	59241
348	31705	59140
349	31786	59032
350	31869	58926
351	31966	58848
352	32049	58742
353	32143	58658
354	32253	58601
355	32341	58504
356	32413	58381
357	32490	58264
358	32575	58163
359	32660	58063
360	32744	57959
361	32855	57905
362	32938	57801
363	33035	57720
364	33119	57618
365	33216	57538
366	33302	57439
367	33393	57350
368	33490	57269
369	33576	57171
370	33676	57094
371	33763	56998
372	33863	56922
373	33957	56837
374	34044	56740
375	34129	56640
376	34202	56520
377	34295	56433
378	34380	56333
379	34480	56257
380	34593	56202
381	34674	56097
382	34759	55996
383	34860	55921
384	34943	55819
385	35029	55719
386	35116	55624
387	35216	55547
388	35303	55450
389	35401	55372
390	35490	55277
391	35574	55176
392	35650	55062
393	35748	54983
394	35833	54884
395	35917	54783
396	35989	54663
397	36082	54576
398	36164	54473
399	36263	54394
400	36350	54299
401	36434	54198
402	36519	54099
403	36604	54000
404	36691	53905
405	36773	53801
406	36868	53717
407	36940	53600
408	37022	53497
409	37102	53391
410	37185	53289
411	37272	53194
412	37354	53092
413	37451	53011
414	37529	52902
415	37623	52817
416	37711	52724
417	37795	52624
418	37892	52543
419	37970	52435
420	38071	52360
421	38156	52261
422	38241	52163
423	38324	52064
424	38409	51966
425	38509	51888
426	38594	51790
427	38689	51706
428	38773	51607
429	38858	51510
430	38945	51415
431	39026	51313
432	39102	51203
433	39190	51110
434	39270	51006
435	39382	50943
436	39467	50847
437	39569	50771
438	39652	50671
439	39734	50571
440	39816	50470
441	39908	50382
442	39993	50285
443	40085	50196
444	40182	50114
445	40267	50018
446	40366	49938
447	40454	49846
448	40554	49767
449	40639	49670
450	40741	49593
451	40851	49528
452	40936	49430
453	41013	49324
454	41099	49229
